Date,banking_crisis,bear_market,bull_market,business_confidence,consumer_confidence,debt_crisis,economic_growth,economic_recession,economic_recovery,financial_crisis,inflation,job_creation,job_losses,low_unemployment,recession,stock_market_crash,stock_market_optimism,stock_market_rally,strong_economy,unemployement
2015-11-01,60,3,14,47,34,52,70,29,24,42,71,40,28,14,6,5,0,0,44,5
2015-11-08,47,4,14,38,28,66,65,31,20,48,78,63,25,17,7,5,0,21,44,6
2015-11-15,49,3,15,64,28,62,65,31,25,45,76,43,15,18,7,6,0,0,36,6
2015-11-22,46,2,8,34,26,46,39,17,16,33,62,33,15,9,4,3,0,0,24,5
2015-11-29,71,3,14,61,26,65,69,27,28,48,80,46,14,16,8,6,0,0,41,6
2015-12-06,53,3,14,38,25,61,71,32,27,56,85,55,19,20,8,6,0,0,42,6
2015-12-13,49,4,14,30,26,56,56,26,26,45,81,41,14,16,7,6,0,0,43,6
2015-12-20,0,3,9,0,8,28,19,6,13,28,59,25,0,5,3,3,0,27,0,4
2015-12-27,22,3,8,0,16,19,16,4,0,35,53,19,13,5,3,2,0,0,14,4
2016-01-03,41,6,17,0,20,30,39,14,19,43,60,35,19,9,6,15,100,22,33,6
2016-01-10,52,9,22,42,17,34,52,22,20,44,59,53,22,14,8,16,0,0,47,6
2016-01-17,40,10,19,55,30,47,53,22,21,48,61,41,27,13,9,13,0,0,67,6
2016-01-24,53,5,18,48,37,42,62,24,26,43,66,40,25,14,8,7,0,0,52,7
2016-01-31,63,5,17,53,24,51,73,25,28,46,70,68,38,14,8,7,0,0,65,6
2016-02-07,72,7,18,36,25,46,71,28,29,48,73,49,24,15,10,9,0,0,59,5
2016-02-14,56,4,17,58,25,52,68,25,24,45,69,44,21,13,7,6,0,0,55,6
2016-02-21,62,4,15,41,37,52,79,30,33,44,81,57,23,12,8,7,0,0,53,6
2016-02-28,57,4,14,52,19,55,75,29,33,48,76,54,31,18,8,8,0,17,58,6
2016-03-06,62,4,22,50,20,58,69,26,35,45,70,61,28,13,7,7,0,17,49,5
2016-03-13,46,3,15,46,25,45,65,22,30,43,64,36,29,12,6,7,0,0,49,5
2016-03-20,65,3,13,50,26,48,62,25,26,49,64,53,20,10,6,7,0,0,39,6
2016-03-27,57,3,12,79,38,54,63,21,30,51,75,53,25,13,7,5,0,0,35,5
2016-04-03,55,3,13,63,23,59,72,35,38,52,80,63,22,13,9,7,0,0,54,5
2016-04-10,95,3,14,46,31,67,78,34,41,56,80,43,26,14,8,7,0,0,51,6
2016-04-17,63,3,14,68,21,71,73,35,39,58,80,53,18,16,8,6,0,0,57,5
2016-04-24,68,3,15,48,27,80,80,41,46,52,81,50,24,19,9,6,0,0,51,5
2016-05-01,43,3,16,52,31,88,77,33,48,50,81,50,17,21,8,6,0,0,64,6
2016-05-08,53,3,12,53,27,70,68,27,37,43,71,53,18,13,8,5,0,0,37,5
2016-05-15,41,3,13,38,21,57,54,28,32,42,64,43,16,16,7,5,0,0,52,4
2016-05-22,33,3,10,35,15,49,41,16,26,36,62,34,11,12,6,5,0,0,41,4
2016-05-29,37,2,9,0,25,36,37,17,18,27,52,50,14,11,5,3,0,0,28,4
2016-06-05,21,2,9,0,26,42,39,20,17,32,50,50,17,10,6,4,0,0,30,6
2016-06-12,19,2,9,35,17,32,33,11,17,27,48,28,0,9,4,3,0,0,31,4
2016-06-19,33,3,8,23,17,37,33,16,13,32,46,31,13,10,6,14,0,0,21,5
2016-06-26,27,3,10,29,22,41,31,14,12,28,49,30,16,11,5,6,0,16,27,4
2016-07-03,42,3,8,26,15,34,25,9,14,25,47,42,13,7,4,3,0,0,0,4
2016-07-10,56,3,12,34,18,28,29,10,13,31,47,37,15,10,4,3,0,22,18,5
2016-07-17,39,2,10,29,14,31,34,12,14,31,46,40,19,8,4,2,0,0,19,5
2016-07-24,36,2,9,29,24,27,36,14,13,29,48,41,11,9,5,2,0,0,23,5
2016-07-31,47,3,7,30,12,28,36,11,17,26,49,48,14,10,4,2,0,0,30,4
2016-08-07,33,2,9,45,17,27,29,9,8,22,46,35,17,0,4,2,0,0,12,4
2016-08-14,20,3,9,0,10,20,27,9,11,21,45,33,13,8,3,2,0,0,22,5
2016-08-21,21,3,8,29,10,18,33,12,13,23,46,23,11,5,4,3,0,0,23,3
