Catégorie : Toutes catégories

Semaine,banking crisis: (États-Unis)
2015-11-01,60
2015-11-08,47
2015-11-15,49
2015-11-22,46
2015-11-29,71
2015-12-06,53
2015-12-13,49
2015-12-20,0
2015-12-27,22
2016-01-03,41
2016-01-10,52
2016-01-17,40
2016-01-24,53
2016-01-31,63
2016-02-07,72
2016-02-14,56
2016-02-21,62
2016-02-28,57
2016-03-06,62
2016-03-13,46
2016-03-20,65
2016-03-27,57
2016-04-03,55
2016-04-10,95
2016-04-17,63
2016-04-24,68
2016-05-01,43
2016-05-08,53
2016-05-15,41
2016-05-22,33
2016-05-29,37
2016-06-05,21
2016-06-12,19
2016-06-19,33
2016-06-26,27
2016-07-03,42
2016-07-10,56
2016-07-17,39
2016-07-24,36
2016-07-31,47
2016-08-07,33
2016-08-14,20
2016-08-21,21
2016-08-28,33
2016-09-04,30
2016-09-11,24
2016-09-18,46
2016-09-25,59
2016-10-02,59
2016-10-09,45
2016-10-16,54
2016-10-23,57
2016-10-30,42
2016-11-06,39
2016-11-13,38
2016-11-20,46
2016-11-27,73
2016-12-04,100
2016-12-11,63
2016-12-18,29
2016-12-25,0
2017-01-01,38
2017-01-08,30
2017-01-15,46
2017-01-22,43
2017-01-29,44
2017-02-05,43
2017-02-12,33
2017-02-19,44
2017-02-26,49
2017-03-05,51
2017-03-12,39
2017-03-19,53
2017-03-26,47
2017-04-02,53
2017-04-09,56
2017-04-16,65
2017-04-23,73
2017-04-30,58
2017-05-07,59
2017-05-14,36
2017-05-21,21
2017-05-28,28
2017-06-04,28
2017-06-11,23
2017-06-18,23
2017-06-25,22
2017-07-02,27
2017-07-09,25
2017-07-16,15
2017-07-23,0
2017-07-30,23
2017-08-06,31
2017-08-13,21
2017-08-20,0
2017-08-27,14
2017-09-03,14
2017-09-10,16
2017-09-17,27
2017-09-24,20
2017-10-01,25
2017-10-08,37
2017-10-15,43
2017-10-22,40
2017-10-29,47
2017-11-05,40
2017-11-12,57
2017-11-19,16
2017-11-26,56
2017-12-03,72
2017-12-10,59
2017-12-17,29
2017-12-24,16
2017-12-31,18
2018-01-07,20
2018-01-14,24
2018-01-21,29
2018-01-28,39
2018-02-04,34
2018-02-11,32
2018-02-18,52
2018-02-25,52
2018-03-04,48
2018-03-11,54
2018-03-18,51
2018-03-25,42
2018-04-01,52
2018-04-08,41
2018-04-15,46
2018-04-22,55
2018-04-29,45
2018-05-06,48
2018-05-13,31
2018-05-20,29
2018-05-27,26
2018-06-03,26
2018-06-10,33
2018-06-17,25
2018-06-24,16
2018-07-01,23
2018-07-08,15
2018-07-15,18
2018-07-22,20
2018-07-29,19
2018-08-05,13
2018-08-12,15
2018-08-19,19
2018-08-26,22
2018-09-02,0
2018-09-09,26
2018-09-16,22
2018-09-23,33
2018-09-30,31
2018-10-07,32
2018-10-14,22
2018-10-21,35
2018-10-28,45
2018-11-04,40
2018-11-11,42
2018-11-18,28
2018-11-25,48
2018-12-02,47
2018-12-09,66
2018-12-16,31
2018-12-23,0
2018-12-30,16
2019-01-06,30
2019-01-13,27
2019-01-20,26
2019-01-27,30
2019-02-03,39
2019-02-10,30
2019-02-17,34
2019-02-24,59
2019-03-03,47
2019-03-10,45
2019-03-17,27
2019-03-24,52
2019-03-31,45
2019-04-07,38
2019-04-14,32
2019-04-21,45
2019-04-28,46
2019-05-05,45
2019-05-12,40
2019-05-19,16
2019-05-26,25
2019-06-02,28
2019-06-09,24
2019-06-16,0
2019-06-23,17
2019-06-30,21
2019-07-07,25
2019-07-14,16
2019-07-21,19
2019-07-28,24
2019-08-04,15
2019-08-11,16
2019-08-18,22
2019-08-25,14
2019-09-01,16
2019-09-08,25
2019-09-15,26
2019-09-22,30
2019-09-29,31
2019-10-06,43
2019-10-13,28
2019-10-20,29
2019-10-27,39
2019-11-03,37
2019-11-10,38
2019-11-17,50
2019-11-24,28
2019-12-01,41
2019-12-08,54
2019-12-15,36
2019-12-22,16
2019-12-29,14
2020-01-05,22
2020-01-12,26
2020-01-19,24
2020-01-26,28
2020-02-02,27
2020-02-09,41
2020-02-16,42
2020-02-23,30
2020-03-01,36
2020-03-08,41
2020-03-15,60
2020-03-22,54
2020-03-29,56
2020-04-05,35
2020-04-12,56
2020-04-19,35
2020-04-26,37
2020-05-03,38
2020-05-10,36
2020-05-17,27
2020-05-24,22
2020-05-31,15
2020-06-07,19
2020-06-14,20
2020-06-21,18
2020-06-28,21
2020-07-05,19
2020-07-12,15
2020-07-19,17
2020-07-26,18
2020-08-02,27
2020-08-09,18
2020-08-16,15
2020-08-23,0
2020-08-30,12
2020-09-06,19
2020-09-13,18
2020-09-20,23
2020-09-27,28
2020-10-04,18
2020-10-11,40
2020-10-18,27
2020-10-25,31
2020-11-01,20
2020-11-08,44
2020-11-15,41
2020-11-22,24
2020-11-29,34
2020-12-06,41
2020-12-13,22
2020-12-20,13
2020-12-27,0
