Catégorie : Toutes catégories

Semaine,bull market: (États-Unis)
2015-11-01,14
2015-11-08,14
2015-11-15,15
2015-11-22,8
2015-11-29,14
2015-12-06,14
2015-12-13,14
2015-12-20,9
2015-12-27,8
2016-01-03,17
2016-01-10,22
2016-01-17,19
2016-01-24,18
2016-01-31,17
2016-02-07,18
2016-02-14,17
2016-02-21,15
2016-02-28,14
2016-03-06,22
2016-03-13,15
2016-03-20,13
2016-03-27,12
2016-04-03,13
2016-04-10,14
2016-04-17,14
2016-04-24,15
2016-05-01,16
2016-05-08,12
2016-05-15,13
2016-05-22,10
2016-05-29,9
2016-06-05,9
2016-06-12,9
2016-06-19,8
2016-06-26,10
2016-07-03,8
2016-07-10,12
2016-07-17,10
2016-07-24,9
2016-07-31,7
2016-08-07,9
2016-08-14,9
2016-08-21,8
2016-08-28,8
2016-09-04,10
2016-09-11,10
2016-09-18,8
2016-09-25,8
2016-10-02,10
2016-10-09,9
2016-10-16,9
2016-10-23,10
2016-10-30,10
2016-11-06,12
2016-11-13,15
2016-11-20,12
2016-11-27,15
2016-12-04,15
2016-12-11,15
2016-12-18,10
2016-12-25,6
2017-01-01,12
2017-01-08,15
2017-01-15,13
2017-01-22,15
2017-01-29,12
2017-02-05,14
2017-02-12,14
2017-02-19,14
2017-02-26,15
2017-03-05,22
2017-03-12,17
2017-03-19,15
2017-03-26,16
2017-04-02,13
2017-04-09,13
2017-04-16,14
2017-04-23,14
2017-04-30,14
2017-05-07,13
2017-05-14,13
2017-05-21,11
2017-05-28,10
2017-06-04,9
2017-06-11,10
2017-06-18,9
2017-06-25,9
2017-07-02,12
2017-07-09,9
2017-07-16,10
2017-07-23,10
2017-07-30,11
2017-08-06,9
2017-08-13,10
2017-08-20,8
2017-08-27,9
2017-09-03,10
2017-09-10,10
2017-09-17,13
2017-09-24,12
2017-10-01,11
2017-10-08,11
2017-10-15,15
2017-10-22,12
2017-10-29,14
2017-11-05,15
2017-11-12,14
2017-11-19,11
2017-11-26,18
2017-12-03,18
2017-12-10,18
2017-12-17,16
2017-12-24,12
2017-12-31,15
2018-01-07,21
2018-01-14,20
2018-01-21,21
2018-01-28,21
2018-02-04,27
2018-02-11,18
2018-02-18,13
2018-02-25,15
2018-03-04,20
2018-03-11,14
2018-03-18,16
2018-03-25,16
2018-04-01,14
2018-04-08,14
2018-04-15,14
2018-04-22,15
2018-04-29,13
2018-05-06,13
2018-05-13,11
2018-05-20,10
2018-05-27,8
2018-06-03,9
2018-06-10,9
2018-06-17,9
2018-06-24,11
2018-07-01,9
2018-07-08,9
2018-07-15,12
2018-07-22,10
2018-07-29,10
2018-08-05,9
2018-08-12,11
2018-08-19,60
2018-08-26,17
2018-09-02,14
2018-09-09,13
2018-09-16,15
2018-09-23,12
2018-09-30,11
2018-10-07,21
2018-10-14,14
2018-10-21,16
2018-10-28,16
2018-11-04,12
2018-11-11,15
2018-11-18,13
2018-11-25,17
2018-12-02,17
2018-12-09,17
2018-12-16,27
2018-12-23,28
2018-12-30,15
2019-01-06,18
2019-01-13,16
2019-01-20,13
2019-01-27,14
2019-02-03,14
2019-02-10,14
2019-02-17,11
2019-02-24,13
2019-03-03,17
2019-03-10,20
2019-03-17,15
2019-03-24,12
2019-03-31,15
2019-04-07,14
2019-04-14,12
2019-04-21,14
2019-04-28,13
2019-05-05,11
2019-05-12,13
2019-05-19,12
2019-05-26,9
2019-06-02,11
2019-06-09,10
2019-06-16,9
2019-06-23,8
2019-06-30,8
2019-07-07,10
2019-07-14,9
2019-07-21,8
2019-07-28,9
2019-08-04,9
2019-08-11,11
2019-08-18,9
2019-08-25,8
2019-09-01,7
2019-09-08,9
2019-09-15,10
2019-09-22,8
2019-09-29,9
2019-10-06,8
2019-10-13,9
2019-10-20,10
2019-10-27,10
2019-11-03,12
2019-11-10,12
2019-11-17,13
2019-11-24,8
2019-12-01,12
2019-12-08,12
2019-12-15,15
2019-12-22,9
2019-12-29,9
2020-01-05,14
2020-01-12,13
2020-01-19,14
2020-01-26,13
2020-02-02,14
2020-02-09,16
2020-02-16,14
2020-02-23,21
2020-03-01,17
2020-03-08,100
2020-03-15,30
2020-03-22,42
2020-03-29,24
2020-04-05,29
2020-04-12,21
2020-04-19,18
2020-04-26,20
2020-05-03,17
2020-05-10,15
2020-05-17,17
2020-05-24,13
2020-05-31,14
2020-06-07,20
2020-06-14,13
2020-06-21,13
2020-06-28,11
2020-07-05,13
2020-07-12,11
2020-07-19,11
2020-07-26,10
2020-08-02,11
2020-08-09,11
2020-08-16,13
2020-08-23,11
2020-08-30,15
2020-09-06,12
2020-09-13,11
2020-09-20,11
2020-09-27,10
2020-10-04,11
2020-10-11,11
2020-10-18,11
2020-10-25,10
2020-11-01,10
2020-11-08,15
2020-11-15,14
2020-11-22,12
2020-11-29,13
2020-12-06,15
2020-12-13,12
2020-12-20,10
2020-12-27,11
