Catégorie : Toutes catégories

Semaine,consumer confidence: (États-Unis)
2015-11-01,34
2015-11-08,28
2015-11-15,28
2015-11-22,26
2015-11-29,26
2015-12-06,25
2015-12-13,26
2015-12-20,8
2015-12-27,16
2016-01-03,20
2016-01-10,17
2016-01-17,30
2016-01-24,37
2016-01-31,24
2016-02-07,25
2016-02-14,25
2016-02-21,37
2016-02-28,19
2016-03-06,20
2016-03-13,25
2016-03-20,26
2016-03-27,38
2016-04-03,23
2016-04-10,31
2016-04-17,21
2016-04-24,27
2016-05-01,31
2016-05-08,27
2016-05-15,21
2016-05-22,15
2016-05-29,25
2016-06-05,26
2016-06-12,17
2016-06-19,17
2016-06-26,22
2016-07-03,15
2016-07-10,18
2016-07-17,14
2016-07-24,24
2016-07-31,12
2016-08-07,17
2016-08-14,10
2016-08-21,10
2016-08-28,29
2016-09-04,11
2016-09-11,22
2016-09-18,17
2016-09-25,37
2016-10-02,22
2016-10-09,20
2016-10-16,21
2016-10-23,34
2016-10-30,29
2016-11-06,20
2016-11-13,25
2016-11-20,17
2016-11-27,38
2016-12-04,33
2016-12-11,24
2016-12-18,16
2016-12-25,100
2017-01-01,21
2017-01-08,23
2017-01-15,25
2017-01-22,25
2017-01-29,41
2017-02-05,25
2017-02-12,27
2017-02-19,30
2017-02-26,43
2017-03-05,44
2017-03-12,28
2017-03-19,29
2017-03-26,78
2017-04-02,39
2017-04-09,37
2017-04-16,28
2017-04-23,44
2017-04-30,41
2017-05-07,30
2017-05-14,26
2017-05-21,22
2017-05-28,22
2017-06-04,16
2017-06-11,20
2017-06-18,22
2017-06-25,27
2017-07-02,16
2017-07-09,14
2017-07-16,19
2017-07-23,27
2017-07-30,30
2017-08-06,18
2017-08-13,15
2017-08-20,18
2017-08-27,23
2017-09-03,19
2017-09-10,20
2017-09-17,16
2017-09-24,32
2017-10-01,25
2017-10-08,28
2017-10-15,35
2017-10-22,21
2017-10-29,40
2017-11-05,31
2017-11-12,28
2017-11-19,20
2017-11-26,56
2017-12-03,25
2017-12-10,30
2017-12-17,20
2017-12-24,18
2017-12-31,20
2018-01-07,27
2018-01-14,20
2018-01-21,29
2018-01-28,32
2018-02-04,24
2018-02-11,26
2018-02-18,16
2018-02-25,31
2018-03-04,24
2018-03-11,25
2018-03-18,24
2018-03-25,30
2018-04-01,27
2018-04-08,24
2018-04-15,26
2018-04-22,29
2018-04-29,26
2018-05-06,27
2018-05-13,22
2018-05-20,15
2018-05-27,22
2018-06-03,27
2018-06-10,27
2018-06-17,18
2018-06-24,23
2018-07-01,14
2018-07-08,20
2018-07-15,15
2018-07-22,18
2018-07-29,19
2018-08-05,12
2018-08-12,17
2018-08-19,20
2018-08-26,68
2018-09-02,26
2018-09-09,28
2018-09-16,27
2018-09-23,55
2018-09-30,29
2018-10-07,30
2018-10-14,26
2018-10-21,29
2018-10-28,52
2018-11-04,31
2018-11-11,30
2018-11-18,19
2018-11-25,35
2018-12-02,27
2018-12-09,28
2018-12-16,22
2018-12-23,30
2018-12-30,15
2019-01-06,21
2019-01-13,22
2019-01-20,28
2019-01-27,36
2019-02-03,25
2019-02-10,26
2019-02-17,22
2019-02-24,34
2019-03-03,29
2019-03-10,27
2019-03-17,20
2019-03-24,32
2019-03-31,28
2019-04-07,21
2019-04-14,25
2019-04-21,30
2019-04-28,24
2019-05-05,23
2019-05-12,24
2019-05-19,16
2019-05-26,23
2019-06-02,19
2019-06-09,15
2019-06-16,10
2019-06-23,42
2019-06-30,18
2019-07-07,15
2019-07-14,19
2019-07-21,15
2019-07-28,26
2019-08-04,22
2019-08-11,20
2019-08-18,27
2019-08-25,51
2019-09-01,25
2019-09-08,21
2019-09-15,27
2019-09-22,48
2019-09-29,33
2019-10-06,33
2019-10-13,24
2019-10-20,26
2019-10-27,43
2019-11-03,28
2019-11-10,23
2019-11-17,28
2019-11-24,26
2019-12-01,25
2019-12-08,26
2019-12-15,20
2019-12-22,5
2019-12-29,16
2020-01-05,21
2020-01-12,18
2020-01-19,18
2020-01-26,33
2020-02-02,29
2020-02-09,28
2020-02-16,25
2020-02-23,46
2020-03-01,28
2020-03-08,38
2020-03-15,25
2020-03-22,32
2020-03-29,64
2020-04-05,33
2020-04-12,33
2020-04-19,34
2020-04-26,51
2020-05-03,34
2020-05-10,34
2020-05-17,23
2020-05-24,35
2020-05-31,21
2020-06-07,22
2020-06-14,19
2020-06-21,20
2020-06-28,37
2020-07-05,21
2020-07-12,20
2020-07-19,18
2020-07-26,27
2020-08-02,16
2020-08-09,15
2020-08-16,13
2020-08-23,34
2020-08-30,20
2020-09-06,21
2020-09-13,18
2020-09-20,22
2020-09-27,36
2020-10-04,23
2020-10-11,25
2020-10-18,21
2020-10-25,29
2020-11-01,20
2020-11-08,28
2020-11-15,26
2020-11-22,20
2020-11-29,21
2020-12-06,24
2020-12-13,20
2020-12-20,12
2020-12-27,6
