Catégorie : Toutes catégories

Semaine,debt crisis: (États-Unis)
2015-11-01,52
2015-11-08,66
2015-11-15,62
2015-11-22,46
2015-11-29,65
2015-12-06,61
2015-12-13,56
2015-12-20,28
2015-12-27,19
2016-01-03,30
2016-01-10,34
2016-01-17,47
2016-01-24,42
2016-01-31,51
2016-02-07,46
2016-02-14,52
2016-02-21,52
2016-02-28,55
2016-03-06,58
2016-03-13,45
2016-03-20,48
2016-03-27,54
2016-04-03,59
2016-04-10,67
2016-04-17,71
2016-04-24,80
2016-05-01,88
2016-05-08,70
2016-05-15,57
2016-05-22,49
2016-05-29,36
2016-06-05,42
2016-06-12,32
2016-06-19,37
2016-06-26,41
2016-07-03,34
2016-07-10,28
2016-07-17,31
2016-07-24,27
2016-07-31,28
2016-08-07,27
2016-08-14,20
2016-08-21,18
2016-08-28,24
2016-09-04,26
2016-09-11,36
2016-09-18,32
2016-09-25,32
2016-10-02,35
2016-10-09,43
2016-10-16,47
2016-10-23,37
2016-10-30,47
2016-11-06,42
2016-11-13,47
2016-11-20,40
2016-11-27,55
2016-12-04,57
2016-12-11,44
2016-12-18,27
2016-12-25,12
2017-01-01,26
2017-01-08,34
2017-01-15,30
2017-01-22,33
2017-01-29,33
2017-02-05,35
2017-02-12,37
2017-02-19,44
2017-02-26,39
2017-03-05,40
2017-03-12,42
2017-03-19,41
2017-03-26,37
2017-04-02,46
2017-04-09,46
2017-04-16,49
2017-04-23,53
2017-04-30,63
2017-05-07,46
2017-05-14,38
2017-05-21,39
2017-05-28,28
2017-06-04,29
2017-06-11,26
2017-06-18,26
2017-06-25,36
2017-07-02,25
2017-07-09,24
2017-07-16,20
2017-07-23,27
2017-07-30,32
2017-08-06,20
2017-08-13,18
2017-08-20,25
2017-08-27,22
2017-09-03,29
2017-09-10,33
2017-09-17,51
2017-09-24,68
2017-10-01,62
2017-10-08,41
2017-10-15,40
2017-10-22,44
2017-10-29,51
2017-11-05,43
2017-11-12,43
2017-11-19,29
2017-11-26,41
2017-12-03,43
2017-12-10,44
2017-12-17,23
2017-12-24,19
2017-12-31,26
2018-01-07,27
2018-01-14,31
2018-01-21,29
2018-01-28,29
2018-02-04,37
2018-02-11,39
2018-02-18,31
2018-02-25,35
2018-03-04,27
2018-03-11,31
2018-03-18,30
2018-03-25,44
2018-04-01,39
2018-04-08,41
2018-04-15,44
2018-04-22,47
2018-04-29,51
2018-05-06,39
2018-05-13,30
2018-05-20,29
2018-05-27,47
2018-06-03,36
2018-06-10,28
2018-06-17,20
2018-06-24,27
2018-07-01,25
2018-07-08,25
2018-07-15,22
2018-07-22,20
2018-07-29,18
2018-08-05,35
2018-08-12,34
2018-08-19,24
2018-08-26,34
2018-09-02,34
2018-09-09,90
2018-09-16,56
2018-09-23,57
2018-09-30,40
2018-10-07,48
2018-10-14,56
2018-10-21,43
2018-10-28,52
2018-11-04,50
2018-11-11,62
2018-11-18,42
2018-11-25,54
2018-12-02,100
2018-12-09,59
2018-12-16,42
2018-12-23,40
2018-12-30,38
2019-01-06,48
2019-01-13,33
2019-01-20,45
2019-01-27,39
2019-02-03,33
2019-02-10,44
2019-02-17,42
2019-02-24,43
2019-03-03,52
2019-03-10,34
2019-03-17,40
2019-03-24,38
2019-03-31,42
2019-04-07,43
2019-04-14,40
2019-04-21,52
2019-04-28,55
2019-05-05,52
2019-05-12,37
2019-05-19,38
2019-05-26,32
2019-06-02,38
2019-06-09,39
2019-06-16,31
2019-06-23,50
2019-06-30,30
2019-07-07,34
2019-07-14,41
2019-07-21,37
2019-07-28,31
2019-08-04,31
2019-08-11,28
2019-08-18,35
2019-08-25,23
2019-09-01,37
2019-09-08,41
2019-09-15,38
2019-09-22,27
2019-09-29,42
2019-10-06,44
2019-10-13,37
2019-10-20,44
2019-10-27,37
2019-11-03,43
2019-11-10,45
2019-11-17,48
2019-11-24,33
2019-12-01,50
2019-12-08,50
2019-12-15,27
2019-12-22,18
2019-12-29,20
2020-01-05,25
2020-01-12,36
2020-01-19,64
2020-01-26,36
2020-02-02,36
2020-02-09,39
2020-02-16,45
2020-02-23,49
2020-03-01,44
2020-03-08,53
2020-03-15,51
2020-03-22,52
2020-03-29,52
2020-04-05,41
2020-04-12,43
2020-04-19,54
2020-04-26,43
2020-05-03,46
2020-05-10,35
2020-05-17,31
2020-05-24,19
2020-05-31,19
2020-06-07,21
2020-06-14,21
2020-06-21,15
2020-06-28,24
2020-07-05,18
2020-07-12,23
2020-07-19,23
2020-07-26,24
2020-08-02,16
2020-08-09,19
2020-08-16,15
2020-08-23,18
2020-08-30,23
2020-09-06,22
2020-09-13,21
2020-09-20,32
2020-09-27,27
2020-10-04,38
2020-10-11,24
2020-10-18,25
2020-10-25,27
2020-11-01,18
2020-11-08,32
2020-11-15,37
2020-11-22,26
2020-11-29,28
2020-12-06,30
2020-12-13,20
2020-12-20,18
2020-12-27,14
