Catégorie : Toutes catégories

Semaine,economic recession: (États-Unis)
2015-11-01,29
2015-11-08,31
2015-11-15,31
2015-11-22,17
2015-11-29,27
2015-12-06,32
2015-12-13,26
2015-12-20,6
2015-12-27,4
2016-01-03,14
2016-01-10,22
2016-01-17,22
2016-01-24,24
2016-01-31,25
2016-02-07,28
2016-02-14,25
2016-02-21,30
2016-02-28,29
2016-03-06,26
2016-03-13,22
2016-03-20,25
2016-03-27,21
2016-04-03,35
2016-04-10,34
2016-04-17,35
2016-04-24,41
2016-05-01,33
2016-05-08,27
2016-05-15,28
2016-05-22,16
2016-05-29,17
2016-06-05,20
2016-06-12,11
2016-06-19,16
2016-06-26,14
2016-07-03,9
2016-07-10,10
2016-07-17,12
2016-07-24,14
2016-07-31,11
2016-08-07,9
2016-08-14,9
2016-08-21,12
2016-08-28,13
2016-09-04,18
2016-09-11,20
2016-09-18,19
2016-09-25,24
2016-10-02,22
2016-10-09,22
2016-10-16,24
2016-10-23,28
2016-10-30,22
2016-11-06,28
2016-11-13,30
2016-11-20,19
2016-11-27,27
2016-12-04,33
2016-12-11,21
2016-12-18,11
2016-12-25,6
2017-01-01,13
2017-01-08,16
2017-01-15,21
2017-01-22,22
2017-01-29,23
2017-02-05,21
2017-02-12,25
2017-02-19,24
2017-02-26,29
2017-03-05,31
2017-03-12,23
2017-03-19,30
2017-03-26,28
2017-04-02,31
2017-04-09,24
2017-04-16,34
2017-04-23,38
2017-04-30,33
2017-05-07,32
2017-05-14,21
2017-05-21,19
2017-05-28,15
2017-06-04,16
2017-06-11,12
2017-06-18,11
2017-06-25,10
2017-07-02,10
2017-07-09,11
2017-07-16,11
2017-07-23,12
2017-07-30,11
2017-08-06,7
2017-08-13,6
2017-08-20,12
2017-08-27,12
2017-09-03,15
2017-09-10,15
2017-09-17,20
2017-09-24,24
2017-10-01,18
2017-10-08,24
2017-10-15,27
2017-10-22,24
2017-10-29,26
2017-11-05,30
2017-11-12,28
2017-11-19,16
2017-11-26,31
2017-12-03,32
2017-12-10,28
2017-12-17,14
2017-12-24,7
2017-12-31,11
2018-01-07,15
2018-01-14,20
2018-01-21,22
2018-01-28,22
2018-02-04,29
2018-02-11,25
2018-02-18,28
2018-02-25,29
2018-03-04,35
2018-03-11,24
2018-03-18,23
2018-03-25,25
2018-04-01,27
2018-04-08,30
2018-04-15,33
2018-04-22,35
2018-04-29,35
2018-05-06,36
2018-05-13,25
2018-05-20,29
2018-05-27,17
2018-06-03,17
2018-06-10,16
2018-06-17,11
2018-06-24,13
2018-07-01,11
2018-07-08,14
2018-07-15,12
2018-07-22,13
2018-07-29,11
2018-08-05,8
2018-08-12,8
2018-08-19,13
2018-08-26,16
2018-09-02,18
2018-09-09,29
2018-09-16,24
2018-09-23,25
2018-09-30,23
2018-10-07,26
2018-10-14,28
2018-10-21,31
2018-10-28,28
2018-11-04,25
2018-11-11,30
2018-11-18,23
2018-11-25,35
2018-12-02,42
2018-12-09,43
2018-12-16,31
2018-12-23,13
2018-12-30,19
2019-01-06,26
2019-01-13,27
2019-01-20,28
2019-01-27,27
2019-02-03,30
2019-02-10,28
2019-02-17,26
2019-02-24,28
2019-03-03,31
2019-03-10,26
2019-03-17,30
2019-03-24,30
2019-03-31,35
2019-04-07,38
2019-04-14,33
2019-04-21,35
2019-04-28,37
2019-05-05,36
2019-05-12,25
2019-05-19,27
2019-05-26,17
2019-06-02,20
2019-06-09,18
2019-06-16,15
2019-06-23,17
2019-06-30,16
2019-07-07,15
2019-07-14,17
2019-07-21,18
2019-07-28,11
2019-08-04,15
2019-08-11,49
2019-08-18,47
2019-08-25,35
2019-09-01,28
2019-09-08,32
2019-09-15,30
2019-09-22,33
2019-09-29,34
2019-10-06,32
2019-10-13,26
2019-10-20,29
2019-10-27,29
2019-11-03,28
2019-11-10,34
2019-11-17,34
2019-11-24,18
2019-12-01,29
2019-12-08,34
2019-12-15,23
2019-12-22,8
2019-12-29,10
2020-01-05,17
2020-01-12,23
2020-01-19,22
2020-01-26,25
2020-02-02,23
2020-02-09,30
2020-02-16,27
2020-02-23,41
2020-03-01,39
2020-03-08,68
2020-03-15,100
2020-03-22,71
2020-03-29,65
2020-04-05,61
2020-04-12,55
2020-04-19,57
2020-04-26,51
2020-05-03,55
2020-05-10,43
2020-05-17,37
2020-05-24,27
2020-05-31,25
2020-06-07,41
2020-06-14,22
2020-06-21,21
2020-06-28,19
2020-07-05,17
2020-07-12,21
2020-07-19,18
2020-07-26,21
2020-08-02,14
2020-08-09,14
2020-08-16,16
2020-08-23,17
2020-08-30,25
2020-09-06,25
2020-09-13,32
2020-09-20,31
2020-09-27,33
2020-10-04,31
2020-10-11,30
2020-10-18,36
2020-10-25,35
2020-11-01,27
2020-11-08,34
2020-11-15,35
2020-11-22,19
2020-11-29,32
2020-12-06,36
2020-12-13,26
2020-12-20,6
2020-12-27,8
