Catégorie : Toutes catégories

Semaine,economic recovery: (États-Unis)
2015-11-01,24
2015-11-08,20
2015-11-15,25
2015-11-22,16
2015-11-29,28
2015-12-06,27
2015-12-13,26
2015-12-20,13
2015-12-27,0
2016-01-03,19
2016-01-10,20
2016-01-17,21
2016-01-24,26
2016-01-31,28
2016-02-07,29
2016-02-14,24
2016-02-21,33
2016-02-28,33
2016-03-06,35
2016-03-13,30
2016-03-20,26
2016-03-27,30
2016-04-03,38
2016-04-10,41
2016-04-17,39
2016-04-24,46
2016-05-01,48
2016-05-08,37
2016-05-15,32
2016-05-22,26
2016-05-29,18
2016-06-05,17
2016-06-12,17
2016-06-19,13
2016-06-26,12
2016-07-03,14
2016-07-10,13
2016-07-17,14
2016-07-24,13
2016-07-31,17
2016-08-07,8
2016-08-14,11
2016-08-21,13
2016-08-28,11
2016-09-04,12
2016-09-11,19
2016-09-18,21
2016-09-25,21
2016-10-02,20
2016-10-09,20
2016-10-16,23
2016-10-23,19
2016-10-30,22
2016-11-06,25
2016-11-13,29
2016-11-20,20
2016-11-27,26
2016-12-04,31
2016-12-11,29
2016-12-18,16
2016-12-25,7
2017-01-01,12
2017-01-08,21
2017-01-15,22
2017-01-22,24
2017-01-29,17
2017-02-05,25
2017-02-12,23
2017-02-19,22
2017-02-26,24
2017-03-05,30
2017-03-12,25
2017-03-19,29
2017-03-26,35
2017-04-02,27
2017-04-09,29
2017-04-16,31
2017-04-23,51
2017-04-30,33
2017-05-07,31
2017-05-14,26
2017-05-21,25
2017-05-28,16
2017-06-04,18
2017-06-11,13
2017-06-18,14
2017-06-25,11
2017-07-02,11
2017-07-09,11
2017-07-16,15
2017-07-23,11
2017-07-30,11
2017-08-06,10
2017-08-13,10
2017-08-20,10
2017-08-27,7
2017-09-03,12
2017-09-10,14
2017-09-17,15
2017-09-24,26
2017-10-01,19
2017-10-08,17
2017-10-15,22
2017-10-22,19
2017-10-29,20
2017-11-05,20
2017-11-12,20
2017-11-19,13
2017-11-26,23
2017-12-03,31
2017-12-10,22
2017-12-17,13
2017-12-24,7
2017-12-31,9
2018-01-07,17
2018-01-14,17
2018-01-21,21
2018-01-28,19
2018-02-04,21
2018-02-11,21
2018-02-18,18
2018-02-25,22
2018-03-04,26
2018-03-11,23
2018-03-18,24
2018-03-25,17
2018-04-01,30
2018-04-08,31
2018-04-15,40
2018-04-22,34
2018-04-29,34
2018-05-06,32
2018-05-13,21
2018-05-20,17
2018-05-27,13
2018-06-03,12
2018-06-10,12
2018-06-17,9
2018-06-24,11
2018-07-01,7
2018-07-08,10
2018-07-15,12
2018-07-22,11
2018-07-29,12
2018-08-05,11
2018-08-12,9
2018-08-19,11
2018-08-26,11
2018-09-02,14
2018-09-09,27
2018-09-16,18
2018-09-23,19
2018-09-30,14
2018-10-07,17
2018-10-14,16
2018-10-21,27
2018-10-28,21
2018-11-04,18
2018-11-11,21
2018-11-18,14
2018-11-25,19
2018-12-02,29
2018-12-09,26
2018-12-16,13
2018-12-23,5
2018-12-30,9
2019-01-06,18
2019-01-13,21
2019-01-20,13
2019-01-27,21
2019-02-03,20
2019-02-10,21
2019-02-17,22
2019-02-24,24
2019-03-03,27
2019-03-10,22
2019-03-17,20
2019-03-24,27
2019-03-31,30
2019-04-07,33
2019-04-14,34
2019-04-21,35
2019-04-28,29
2019-05-05,21
2019-05-12,27
2019-05-19,18
2019-05-26,13
2019-06-02,10
2019-06-09,11
2019-06-16,10
2019-06-23,10
2019-06-30,11
2019-07-07,12
2019-07-14,13
2019-07-21,13
2019-07-28,8
2019-08-04,12
2019-08-11,7
2019-08-18,11
2019-08-25,11
2019-09-01,10
2019-09-08,12
2019-09-15,15
2019-09-22,16
2019-09-29,16
2019-10-06,16
2019-10-13,14
2019-10-20,14
2019-10-27,16
2019-11-03,18
2019-11-10,19
2019-11-17,16
2019-11-24,11
2019-12-01,19
2019-12-08,20
2019-12-15,15
2019-12-22,0
2019-12-29,8
2020-01-05,17
2020-01-12,16
2020-01-19,19
2020-01-26,16
2020-02-02,20
2020-02-09,26
2020-02-16,26
2020-02-23,23
2020-03-01,25
2020-03-08,25
2020-03-15,58
2020-03-22,67
2020-03-29,73
2020-04-05,74
2020-04-12,100
2020-04-19,94
2020-04-26,100
2020-05-03,87
2020-05-10,80
2020-05-17,81
2020-05-24,66
2020-05-31,58
2020-06-07,59
2020-06-14,47
2020-06-21,63
2020-06-28,45
2020-07-05,49
2020-07-12,44
2020-07-19,45
2020-07-26,54
2020-08-02,45
2020-08-09,37
2020-08-16,40
2020-08-23,47
2020-08-30,44
2020-09-06,38
2020-09-13,44
2020-09-20,38
2020-09-27,92
2020-10-04,78
2020-10-11,51
2020-10-18,46
2020-10-25,49
2020-11-01,34
2020-11-08,35
2020-11-15,34
2020-11-22,25
2020-11-29,45
2020-12-06,37
2020-12-13,37
2020-12-20,23
2020-12-27,21
