Catégorie : Toutes catégories

Semaine,inflation: (États-Unis)
2015-11-01,71
2015-11-08,78
2015-11-15,76
2015-11-22,62
2015-11-29,80
2015-12-06,85
2015-12-13,81
2015-12-20,59
2015-12-27,53
2016-01-03,60
2016-01-10,59
2016-01-17,61
2016-01-24,66
2016-01-31,70
2016-02-07,73
2016-02-14,69
2016-02-21,81
2016-02-28,76
2016-03-06,70
2016-03-13,64
2016-03-20,64
2016-03-27,75
2016-04-03,80
2016-04-10,80
2016-04-17,80
2016-04-24,81
2016-05-01,81
2016-05-08,71
2016-05-15,64
2016-05-22,62
2016-05-29,52
2016-06-05,50
2016-06-12,48
2016-06-19,46
2016-06-26,49
2016-07-03,47
2016-07-10,47
2016-07-17,46
2016-07-24,48
2016-07-31,49
2016-08-07,46
2016-08-14,45
2016-08-21,46
2016-08-28,49
2016-09-04,54
2016-09-11,55
2016-09-18,64
2016-09-25,67
2016-10-02,65
2016-10-09,65
2016-10-16,68
2016-10-23,67
2016-10-30,71
2016-11-06,70
2016-11-13,83
2016-11-20,58
2016-11-27,78
2016-12-04,87
2016-12-11,79
2016-12-18,50
2016-12-25,47
2017-01-01,53
2017-01-08,64
2017-01-15,65
2017-01-22,68
2017-01-29,71
2017-02-05,76
2017-02-12,77
2017-02-19,78
2017-02-26,83
2017-03-05,74
2017-03-12,71
2017-03-19,73
2017-03-26,77
2017-04-02,72
2017-04-09,75
2017-04-16,79
2017-04-23,90
2017-04-30,81
2017-05-07,79
2017-05-14,60
2017-05-21,55
2017-05-28,56
2017-06-04,50
2017-06-11,54
2017-06-18,49
2017-06-25,47
2017-07-02,49
2017-07-09,47
2017-07-16,49
2017-07-23,49
2017-07-30,47
2017-08-06,47
2017-08-13,41
2017-08-20,43
2017-08-27,48
2017-09-03,50
2017-09-10,58
2017-09-17,65
2017-09-24,71
2017-10-01,68
2017-10-08,72
2017-10-15,75
2017-10-22,74
2017-10-29,76
2017-11-05,74
2017-11-12,78
2017-11-19,61
2017-11-26,82
2017-12-03,82
2017-12-10,84
2017-12-17,65
2017-12-24,52
2017-12-31,51
2018-01-07,63
2018-01-14,62
2018-01-21,74
2018-01-28,82
2018-02-04,100
2018-02-11,99
2018-02-18,78
2018-02-25,84
2018-03-04,79
2018-03-11,71
2018-03-18,77
2018-03-25,83
2018-04-01,73
2018-04-08,82
2018-04-15,81
2018-04-22,84
2018-04-29,89
2018-05-06,81
2018-05-13,72
2018-05-20,68
2018-05-27,59
2018-06-03,55
2018-06-10,59
2018-06-17,50
2018-06-24,52
2018-07-01,50
2018-07-08,56
2018-07-15,56
2018-07-22,60
2018-07-29,58
2018-08-05,55
2018-08-12,56
2018-08-19,58
2018-08-26,65
2018-09-02,69
2018-09-09,73
2018-09-16,73
2018-09-23,77
2018-09-30,80
2018-10-07,81
2018-10-14,75
2018-10-21,74
2018-10-28,84
2018-11-04,79
2018-11-11,78
2018-11-18,64
2018-11-25,81
2018-12-02,87
2018-12-09,86
2018-12-16,74
2018-12-23,55
2018-12-30,54
2019-01-06,68
2019-01-13,71
2019-01-20,70
2019-01-27,74
2019-02-03,75
2019-02-10,79
2019-02-17,80
2019-02-24,84
2019-03-03,82
2019-03-10,74
2019-03-17,78
2019-03-24,86
2019-03-31,84
2019-04-07,87
2019-04-14,82
2019-04-21,85
2019-04-28,91
2019-05-05,83
2019-05-12,78
2019-05-19,65
2019-05-26,59
2019-06-02,58
2019-06-09,58
2019-06-16,59
2019-06-23,60
2019-06-30,55
2019-07-07,58
2019-07-14,57
2019-07-21,58
2019-07-28,59
2019-08-04,48
2019-08-11,55
2019-08-18,56
2019-08-25,56
2019-09-01,57
2019-09-08,67
2019-09-15,71
2019-09-22,71
2019-09-29,73
2019-10-06,76
2019-10-13,75
2019-10-20,80
2019-10-27,75
2019-11-03,87
2019-11-10,81
2019-11-17,81
2019-11-24,66
2019-12-01,78
2019-12-08,81
2019-12-15,69
2019-12-22,58
2019-12-29,52
2020-01-05,63
2020-01-12,69
2020-01-19,69
2020-01-26,75
2020-02-02,75
2020-02-09,83
2020-02-16,79
2020-02-23,82
2020-03-01,81
2020-03-08,71
2020-03-15,62
2020-03-22,81
2020-03-29,80
2020-04-05,84
2020-04-12,85
2020-04-19,86
2020-04-26,84
2020-05-03,89
2020-05-10,78
2020-05-17,79
2020-05-24,63
2020-05-31,58
2020-06-07,64
2020-06-14,59
2020-06-21,64
2020-06-28,61
2020-07-05,64
2020-07-12,69
2020-07-19,66
2020-07-26,69
2020-08-02,64
2020-08-09,61
2020-08-16,59
2020-08-23,79
2020-08-30,72
2020-09-06,69
2020-09-13,80
2020-09-20,77
2020-09-27,74
2020-10-04,77
2020-10-11,73
2020-10-18,76
2020-10-25,72
2020-11-01,62
2020-11-08,72
2020-11-15,79
2020-11-22,61
2020-11-29,73
2020-12-06,88
2020-12-13,86
2020-12-20,61
2020-12-27,60
