Catégorie : Toutes catégories

Semaine,job creation: (États-Unis)
2015-11-01,40
2015-11-08,63
2015-11-15,43
2015-11-22,33
2015-11-29,46
2015-12-06,55
2015-12-13,41
2015-12-20,25
2015-12-27,19
2016-01-03,35
2016-01-10,53
2016-01-17,41
2016-01-24,40
2016-01-31,68
2016-02-07,49
2016-02-14,44
2016-02-21,57
2016-02-28,54
2016-03-06,61
2016-03-13,36
2016-03-20,53
2016-03-27,53
2016-04-03,63
2016-04-10,43
2016-04-17,53
2016-04-24,50
2016-05-01,50
2016-05-08,53
2016-05-15,43
2016-05-22,34
2016-05-29,50
2016-06-05,50
2016-06-12,28
2016-06-19,31
2016-06-26,30
2016-07-03,42
2016-07-10,37
2016-07-17,40
2016-07-24,41
2016-07-31,48
2016-08-07,35
2016-08-14,33
2016-08-21,23
2016-08-28,37
2016-09-04,47
2016-09-11,46
2016-09-18,34
2016-09-25,76
2016-10-02,55
2016-10-09,51
2016-10-16,51
2016-10-23,53
2016-10-30,57
2016-11-06,87
2016-11-13,59
2016-11-20,48
2016-11-27,68
2016-12-04,67
2016-12-11,45
2016-12-18,25
2016-12-25,24
2017-01-01,59
2017-01-08,69
2017-01-15,66
2017-01-22,72
2017-01-29,66
2017-02-05,55
2017-02-12,54
2017-02-19,42
2017-02-26,59
2017-03-05,81
2017-03-12,55
2017-03-19,40
2017-03-26,55
2017-04-02,49
2017-04-09,40
2017-04-16,54
2017-04-23,64
2017-04-30,75
2017-05-07,47
2017-05-14,40
2017-05-21,49
2017-05-28,50
2017-06-04,31
2017-06-11,37
2017-06-18,33
2017-06-25,21
2017-07-02,40
2017-07-09,35
2017-07-16,36
2017-07-23,43
2017-07-30,57
2017-08-06,73
2017-08-13,71
2017-08-20,57
2017-08-27,55
2017-09-03,36
2017-09-10,37
2017-09-17,43
2017-09-24,43
2017-10-01,44
2017-10-08,44
2017-10-15,44
2017-10-22,43
2017-10-29,47
2017-11-05,48
2017-11-12,46
2017-11-19,34
2017-11-26,46
2017-12-03,71
2017-12-10,46
2017-12-17,47
2017-12-24,29
2017-12-31,72
2018-01-07,72
2018-01-14,58
2018-01-21,73
2018-01-28,100
2018-02-04,53
2018-02-11,48
2018-02-18,42
2018-02-25,35
2018-03-04,54
2018-03-11,39
2018-03-18,49
2018-03-25,44
2018-04-01,45
2018-04-08,37
2018-04-15,46
2018-04-22,40
2018-04-29,47
2018-05-06,58
2018-05-13,35
2018-05-20,38
2018-05-27,30
2018-06-03,33
2018-06-10,40
2018-06-17,30
2018-06-24,36
2018-07-01,35
2018-07-08,35
2018-07-15,30
2018-07-22,32
2018-07-29,39
2018-08-05,41
2018-08-12,45
2018-08-19,37
2018-08-26,46
2018-09-02,48
2018-09-09,52
2018-09-16,35
2018-09-23,37
2018-09-30,36
2018-10-07,45
2018-10-14,39
2018-10-21,49
2018-10-28,64
2018-11-04,66
2018-11-11,35
2018-11-18,24
2018-11-25,44
2018-12-02,35
2018-12-09,32
2018-12-16,27
2018-12-23,16
2018-12-30,32
2019-01-06,37
2019-01-13,36
2019-01-20,23
2019-01-27,34
2019-02-03,57
2019-02-10,43
2019-02-17,47
2019-02-24,36
2019-03-03,42
2019-03-10,43
2019-03-17,38
2019-03-24,21
2019-03-31,39
2019-04-07,36
2019-04-14,34
2019-04-21,39
2019-04-28,52
2019-05-05,40
2019-05-12,28
2019-05-19,29
2019-05-26,18
2019-06-02,38
2019-06-09,30
2019-06-16,29
2019-06-23,28
2019-06-30,37
2019-07-07,38
2019-07-14,30
2019-07-21,26
2019-07-28,28
2019-08-04,29
2019-08-11,26
2019-08-18,34
2019-08-25,26
2019-09-01,35
2019-09-08,35
2019-09-15,36
2019-09-22,36
2019-09-29,41
2019-10-06,42
2019-10-13,35
2019-10-20,38
2019-10-27,42
2019-11-03,43
2019-11-10,34
2019-11-17,41
2019-11-24,27
2019-12-01,51
2019-12-08,37
2019-12-15,49
2019-12-22,20
2019-12-29,22
2020-01-05,42
2020-01-12,40
2020-01-19,33
2020-01-26,32
2020-02-02,78
2020-02-09,96
2020-02-16,61
2020-02-23,46
2020-03-01,44
2020-03-08,31
2020-03-15,22
2020-03-22,30
2020-03-29,30
2020-04-05,39
2020-04-12,37
2020-04-19,37
2020-04-26,35
2020-05-03,30
2020-05-10,32
2020-05-17,31
2020-05-24,29
2020-05-31,35
2020-06-07,30
2020-06-14,26
2020-06-21,36
2020-06-28,35
2020-07-05,29
2020-07-12,18
2020-07-19,34
2020-07-26,26
2020-08-02,23
2020-08-09,38
2020-08-16,47
2020-08-23,60
2020-08-30,39
2020-09-06,34
2020-09-13,41
2020-09-20,46
2020-09-27,60
2020-10-04,68
2020-10-11,55
2020-10-18,39
2020-10-25,68
2020-11-01,49
2020-11-08,45
2020-11-15,24
2020-11-22,25
2020-11-29,35
2020-12-06,29
2020-12-13,41
2020-12-20,18
2020-12-27,18
