Catégorie : Toutes catégories

Semaine,low unemployment: (États-Unis)
2015-11-01,14
2015-11-08,17
2015-11-15,18
2015-11-22,9
2015-11-29,16
2015-12-06,20
2015-12-13,16
2015-12-20,5
2015-12-27,5
2016-01-03,9
2016-01-10,14
2016-01-17,13
2016-01-24,14
2016-01-31,14
2016-02-07,15
2016-02-14,13
2016-02-21,12
2016-02-28,18
2016-03-06,13
2016-03-13,12
2016-03-20,10
2016-03-27,13
2016-04-03,13
2016-04-10,14
2016-04-17,16
2016-04-24,19
2016-05-01,21
2016-05-08,13
2016-05-15,16
2016-05-22,12
2016-05-29,11
2016-06-05,10
2016-06-12,9
2016-06-19,10
2016-06-26,11
2016-07-03,7
2016-07-10,10
2016-07-17,8
2016-07-24,9
2016-07-31,10
2016-08-07,0
2016-08-14,8
2016-08-21,5
2016-08-28,8
2016-09-04,6
2016-09-11,13
2016-09-18,11
2016-09-25,8
2016-10-02,13
2016-10-09,13
2016-10-16,13
2016-10-23,14
2016-10-30,12
2016-11-06,15
2016-11-13,19
2016-11-20,9
2016-11-27,20
2016-12-04,21
2016-12-11,19
2016-12-18,6
2016-12-25,8
2017-01-01,6
2017-01-08,11
2017-01-15,13
2017-01-22,17
2017-01-29,10
2017-02-05,10
2017-02-12,12
2017-02-19,9
2017-02-26,20
2017-03-05,16
2017-03-12,12
2017-03-19,16
2017-03-26,19
2017-04-02,19
2017-04-09,17
2017-04-16,22
2017-04-23,19
2017-04-30,20
2017-05-07,19
2017-05-14,17
2017-05-21,12
2017-05-28,12
2017-06-04,11
2017-06-11,9
2017-06-18,9
2017-06-25,10
2017-07-02,13
2017-07-09,9
2017-07-16,8
2017-07-23,9
2017-07-30,16
2017-08-06,12
2017-08-13,10
2017-08-20,7
2017-08-27,11
2017-09-03,14
2017-09-10,6
2017-09-17,11
2017-09-24,14
2017-10-01,12
2017-10-08,14
2017-10-15,15
2017-10-22,18
2017-10-29,16
2017-11-05,22
2017-11-12,17
2017-11-19,12
2017-11-26,23
2017-12-03,25
2017-12-10,21
2017-12-17,14
2017-12-24,8
2017-12-31,17
2018-01-07,19
2018-01-14,20
2018-01-21,14
2018-01-28,48
2018-02-04,20
2018-02-11,15
2018-02-18,18
2018-02-25,16
2018-03-04,18
2018-03-11,17
2018-03-18,17
2018-03-25,16
2018-04-01,17
2018-04-08,21
2018-04-15,23
2018-04-22,27
2018-04-29,32
2018-05-06,26
2018-05-13,21
2018-05-20,16
2018-05-27,24
2018-06-03,23
2018-06-10,18
2018-06-17,16
2018-06-24,14
2018-07-01,14
2018-07-08,18
2018-07-15,35
2018-07-22,22
2018-07-29,19
2018-08-05,14
2018-08-12,17
2018-08-19,13
2018-08-26,16
2018-09-02,23
2018-09-09,18
2018-09-16,18
2018-09-23,17
2018-09-30,35
2018-10-07,31
2018-10-14,25
2018-10-21,23
2018-10-28,26
2018-11-04,27
2018-11-11,24
2018-11-18,13
2018-11-25,21
2018-12-02,28
2018-12-09,23
2018-12-16,16
2018-12-23,7
2018-12-30,15
2019-01-06,19
2019-01-13,17
2019-01-20,19
2019-01-27,19
2019-02-03,30
2019-02-10,21
2019-02-17,21
2019-02-24,20
2019-03-03,21
2019-03-10,20
2019-03-17,17
2019-03-24,23
2019-03-31,19
2019-04-07,27
2019-04-14,23
2019-04-21,29
2019-04-28,40
2019-05-05,33
2019-05-12,21
2019-05-19,14
2019-05-26,13
2019-06-02,16
2019-06-09,15
2019-06-16,18
2019-06-23,15
2019-06-30,12
2019-07-07,14
2019-07-14,16
2019-07-21,17
2019-07-28,14
2019-08-04,11
2019-08-11,10
2019-08-18,8
2019-08-25,11
2019-09-01,16
2019-09-08,16
2019-09-15,14
2019-09-22,17
2019-09-29,29
2019-10-06,27
2019-10-13,21
2019-10-20,26
2019-10-27,21
2019-11-03,25
2019-11-10,23
2019-11-17,24
2019-11-24,13
2019-12-01,26
2019-12-08,27
2019-12-15,22
2019-12-22,9
2019-12-29,10
2020-01-05,15
2020-01-12,21
2020-01-19,22
2020-01-26,20
2020-02-02,41
2020-02-09,23
2020-02-16,23
2020-02-23,24
2020-03-01,21
2020-03-08,19
2020-03-15,33
2020-03-22,65
2020-03-29,100
2020-04-05,89
2020-04-12,88
2020-04-19,77
2020-04-26,75
2020-05-03,64
2020-05-10,65
2020-05-17,64
2020-05-24,58
2020-05-31,47
2020-06-07,52
2020-06-14,43
2020-06-21,39
2020-06-28,49
2020-07-05,45
2020-07-12,55
2020-07-19,50
2020-07-26,54
2020-08-02,51
2020-08-09,49
2020-08-16,51
2020-08-23,43
2020-08-30,50
2020-09-06,40
2020-09-13,43
2020-09-20,44
2020-09-27,48
2020-10-04,39
2020-10-11,36
2020-10-18,40
2020-10-25,32
2020-11-01,34
2020-11-08,34
2020-11-15,39
2020-11-22,26
2020-11-29,43
2020-12-06,37
2020-12-13,34
2020-12-20,28
2020-12-27,30
