Catégorie : Toutes catégories

Semaine,strong economy: (États-Unis)
2015-11-01,44
2015-11-08,44
2015-11-15,36
2015-11-22,24
2015-11-29,41
2015-12-06,42
2015-12-13,43
2015-12-20,0
2015-12-27,14
2016-01-03,33
2016-01-10,47
2016-01-17,67
2016-01-24,52
2016-01-31,65
2016-02-07,59
2016-02-14,55
2016-02-21,53
2016-02-28,58
2016-03-06,49
2016-03-13,49
2016-03-20,39
2016-03-27,35
2016-04-03,54
2016-04-10,51
2016-04-17,57
2016-04-24,51
2016-05-01,64
2016-05-08,37
2016-05-15,52
2016-05-22,41
2016-05-29,28
2016-06-05,30
2016-06-12,31
2016-06-19,21
2016-06-26,27
2016-07-03,0
2016-07-10,18
2016-07-17,19
2016-07-24,23
2016-07-31,30
2016-08-07,12
2016-08-14,22
2016-08-21,23
2016-08-28,36
2016-09-04,28
2016-09-11,46
2016-09-18,40
2016-09-25,46
2016-10-02,41
2016-10-09,38
2016-10-16,38
2016-10-23,49
2016-10-30,45
2016-11-06,53
2016-11-13,60
2016-11-20,26
2016-11-27,64
2016-12-04,67
2016-12-11,57
2016-12-18,28
2016-12-25,16
2017-01-01,37
2017-01-08,46
2017-01-15,42
2017-01-22,61
2017-01-29,58
2017-02-05,78
2017-02-12,49
2017-02-19,58
2017-02-26,65
2017-03-05,64
2017-03-12,49
2017-03-19,46
2017-03-26,48
2017-04-02,55
2017-04-09,56
2017-04-16,55
2017-04-23,59
2017-04-30,56
2017-05-07,58
2017-05-14,45
2017-05-21,28
2017-05-28,33
2017-06-04,32
2017-06-11,21
2017-06-18,22
2017-06-25,22
2017-07-02,13
2017-07-09,21
2017-07-16,17
2017-07-23,19
2017-07-30,35
2017-08-06,16
2017-08-13,0
2017-08-20,19
2017-08-27,29
2017-09-03,47
2017-09-10,43
2017-09-17,45
2017-09-24,41
2017-10-01,42
2017-10-08,36
2017-10-15,49
2017-10-22,45
2017-10-29,42
2017-11-05,61
2017-11-12,62
2017-11-19,31
2017-11-26,70
2017-12-03,64
2017-12-10,74
2017-12-17,37
2017-12-24,13
2017-12-31,26
2018-01-07,39
2018-01-14,48
2018-01-21,61
2018-01-28,54
2018-02-04,56
2018-02-11,55
2018-02-18,53
2018-02-25,59
2018-03-04,72
2018-03-11,46
2018-03-18,53
2018-03-25,54
2018-04-01,50
2018-04-08,51
2018-04-15,59
2018-04-22,60
2018-04-29,61
2018-05-06,55
2018-05-13,55
2018-05-20,44
2018-05-27,40
2018-06-03,26
2018-06-10,35
2018-06-17,23
2018-06-24,25
2018-07-01,23
2018-07-08,30
2018-07-15,30
2018-07-22,41
2018-07-29,32
2018-08-05,22
2018-08-12,33
2018-08-19,41
2018-08-26,64
2018-09-02,49
2018-09-09,59
2018-09-16,54
2018-09-23,57
2018-09-30,52
2018-10-07,51
2018-10-14,59
2018-10-21,62
2018-10-28,71
2018-11-04,70
2018-11-11,62
2018-11-18,28
2018-11-25,61
2018-12-02,80
2018-12-09,75
2018-12-16,56
2018-12-23,21
2018-12-30,29
2019-01-06,65
2019-01-13,55
2019-01-20,61
2019-01-27,63
2019-02-03,73
2019-02-10,55
2019-02-17,48
2019-02-24,71
2019-03-03,55
2019-03-10,51
2019-03-17,56
2019-03-24,66
2019-03-31,70
2019-04-07,59
2019-04-14,64
2019-04-21,61
2019-04-28,82
2019-05-05,78
2019-05-12,66
2019-05-19,68
2019-05-26,55
2019-06-02,47
2019-06-09,30
2019-06-16,44
2019-06-23,26
2019-06-30,39
2019-07-07,37
2019-07-14,39
2019-07-21,40
2019-07-28,38
2019-08-04,24
2019-08-11,28
2019-08-18,38
2019-08-25,43
2019-09-01,47
2019-09-08,57
2019-09-15,56
2019-09-22,63
2019-09-29,59
2019-10-06,65
2019-10-13,50
2019-10-20,44
2019-10-27,66
2019-11-03,62
2019-11-10,55
2019-11-17,73
2019-11-24,34
2019-12-01,84
2019-12-08,75
2019-12-15,78
2019-12-22,26
2019-12-29,26
2020-01-05,58
2020-01-12,53
2020-01-19,65
2020-01-26,66
2020-02-02,92
2020-02-09,84
2020-02-16,73
2020-02-23,91
2020-03-01,77
2020-03-08,73
2020-03-15,58
2020-03-22,70
2020-03-29,66
2020-04-05,76
2020-04-12,68
2020-04-19,100
2020-04-26,82
2020-05-03,96
2020-05-10,87
2020-05-17,61
2020-05-24,35
2020-05-31,47
2020-06-07,39
2020-06-14,39
2020-06-21,37
2020-06-28,36
2020-07-05,41
2020-07-12,32
2020-07-19,38
2020-07-26,33
2020-08-02,29
2020-08-09,19
2020-08-16,39
2020-08-23,47
2020-08-30,60
2020-09-06,62
2020-09-13,84
2020-09-20,85
2020-09-27,84
2020-10-04,68
2020-10-11,68
2020-10-18,89
2020-10-25,77
2020-11-01,75
2020-11-08,87
2020-11-15,76
2020-11-22,41
2020-11-29,71
2020-12-06,74
2020-12-13,76
2020-12-20,22
2020-12-27,22
