Catégorie : Toutes catégories

Semaine,unemployement: (États-Unis)
2015-11-01,5
2015-11-08,6
2015-11-15,6
2015-11-22,5
2015-11-29,6
2015-12-06,6
2015-12-13,6
2015-12-20,4
2015-12-27,4
2016-01-03,6
2016-01-10,6
2016-01-17,6
2016-01-24,7
2016-01-31,6
2016-02-07,5
2016-02-14,6
2016-02-21,6
2016-02-28,6
2016-03-06,5
2016-03-13,5
2016-03-20,6
2016-03-27,5
2016-04-03,5
2016-04-10,6
2016-04-17,5
2016-04-24,5
2016-05-01,6
2016-05-08,5
2016-05-15,4
2016-05-22,4
2016-05-29,4
2016-06-05,6
2016-06-12,4
2016-06-19,5
2016-06-26,4
2016-07-03,4
2016-07-10,5
2016-07-17,5
2016-07-24,5
2016-07-31,4
2016-08-07,4
2016-08-14,5
2016-08-21,3
2016-08-28,5
2016-09-04,5
2016-09-11,5
2016-09-18,5
2016-09-25,5
2016-10-02,4
2016-10-09,4
2016-10-16,5
2016-10-23,5
2016-10-30,5
2016-11-06,5
2016-11-13,5
2016-11-20,4
2016-11-27,5
2016-12-04,5
2016-12-11,5
2016-12-18,5
2016-12-25,4
2017-01-01,5
2017-01-08,6
2017-01-15,6
2017-01-22,7
2017-01-29,7
2017-02-05,6
2017-02-12,5
2017-02-19,6
2017-02-26,6
2017-03-05,5
2017-03-12,4
2017-03-19,5
2017-03-26,4
2017-04-02,5
2017-04-09,6
2017-04-16,5
2017-04-23,6
2017-04-30,5
2017-05-07,4
2017-05-14,4
2017-05-21,4
2017-05-28,4
2017-06-04,4
2017-06-11,5
2017-06-18,4
2017-06-25,5
2017-07-02,4
2017-07-09,4
2017-07-16,4
2017-07-23,5
2017-07-30,4
2017-08-06,3
2017-08-13,4
2017-08-20,4
2017-08-27,4
2017-09-03,4
2017-09-10,4
2017-09-17,4
2017-09-24,4
2017-10-01,5
2017-10-08,5
2017-10-15,4
2017-10-22,4
2017-10-29,5
2017-11-05,5
2017-11-12,5
2017-11-19,3
2017-11-26,5
2017-12-03,5
2017-12-10,5
2017-12-17,4
2017-12-24,3
2017-12-31,5
2018-01-07,6
2018-01-14,5
2018-01-21,7
2018-01-28,6
2018-02-04,6
2018-02-11,5
2018-02-18,5
2018-02-25,5
2018-03-04,4
2018-03-11,4
2018-03-18,3
2018-03-25,4
2018-04-01,4
2018-04-08,5
2018-04-15,4
2018-04-22,5
2018-04-29,5
2018-05-06,4
2018-05-13,5
2018-05-20,4
2018-05-27,4
2018-06-03,5
2018-06-10,5
2018-06-17,4
2018-06-24,3
2018-07-01,4
2018-07-08,4
2018-07-15,4
2018-07-22,4
2018-07-29,5
2018-08-05,4
2018-08-12,4
2018-08-19,3
2018-08-26,3
2018-09-02,3
2018-09-09,4
2018-09-16,4
2018-09-23,3
2018-09-30,4
2018-10-07,4
2018-10-14,4
2018-10-21,4
2018-10-28,5
2018-11-04,4
2018-11-11,4
2018-11-18,3
2018-11-25,4
2018-12-02,4
2018-12-09,4
2018-12-16,4
2018-12-23,4
2018-12-30,5
2019-01-06,6
2019-01-13,6
2019-01-20,6
2019-01-27,5
2019-02-03,5
2019-02-10,4
2019-02-17,4
2019-02-24,4
2019-03-03,4
2019-03-10,4
2019-03-17,4
2019-03-24,3
2019-03-31,4
2019-04-07,5
2019-04-14,4
2019-04-21,5
2019-04-28,4
2019-05-05,4
2019-05-12,4
2019-05-19,3
2019-05-26,3
2019-06-02,4
2019-06-09,3
2019-06-16,4
2019-06-23,4
2019-06-30,3
2019-07-07,4
2019-07-14,4
2019-07-21,3
2019-07-28,4
2019-08-04,4
2019-08-11,3
2019-08-18,4
2019-08-25,3
2019-09-01,3
2019-09-08,3
2019-09-15,4
2019-09-22,3
2019-09-29,3
2019-10-06,3
2019-10-13,4
2019-10-20,3
2019-10-27,3
2019-11-03,3
2019-11-10,3
2019-11-17,4
2019-11-24,2
2019-12-01,4
2019-12-08,4
2019-12-15,4
2019-12-22,3
2019-12-29,3
2020-01-05,4
2020-01-12,4
2020-01-19,4
2020-01-26,4
2020-02-02,5
2020-02-09,4
2020-02-16,4
2020-02-23,4
2020-03-01,4
2020-03-08,6
2020-03-15,51
2020-03-22,76
2020-03-29,100
2020-04-05,75
2020-04-12,71
2020-04-19,62
2020-04-26,54
2020-05-03,44
2020-05-10,42
2020-05-17,37
2020-05-24,37
2020-05-31,32
2020-06-07,27
2020-06-14,28
2020-06-21,27
2020-06-28,25
2020-07-05,26
2020-07-12,26
2020-07-19,29
2020-07-26,28
2020-08-02,24
2020-08-09,26
2020-08-16,21
2020-08-23,22
2020-08-30,18
2020-09-06,17
2020-09-13,16
2020-09-20,15
2020-09-27,14
2020-10-04,13
2020-10-11,12
2020-10-18,13
2020-10-25,10
2020-11-01,10
2020-11-08,11
2020-11-15,12
2020-11-22,9
2020-11-29,11
2020-12-06,12
2020-12-13,12
2020-12-20,13
2020-12-27,14
